Company Name,Ticker,Type,Gross Exp Ratio,Net Exp Ratio,Total Assets,Ann Dividend/Yield,Distribution Yield,Fund Inception,1m MR,3m MR,6m MR,YTD MR,1yr MR,3yr MR,5yr MR,10yr MR,Inception MR,Cur Price,EPS,P/E Ratio,Market Cap,Link,Prospectus,Description
IQ Healthy Hearts ETFNYSE Arca:HART    ,HART,ETF Profile,0.46%,0.45%,$7M,$0.133/0.48%,--,01/14/2021,+6.93%,+7.37%,+6.56%,--,--,--,--,--,+18.30%,$27.34 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=HART&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=HART,"The investment seeks investment results that correspond (before fees and expenses) generally to the price and yield performance of its underlying index, the IQ Candriam Healthy Hearts Index.The fund employs a ""passive management"" - or indexing - investment approach designed to track the performance of the index, which was developed by IndexIQ LLC with Candriam Belgium S.A. acting as index consultant to IndexIQ. The index includes securities of large-, mid- and small-capitalization companies that trade in the U.S. and foreign markets, including emerging markets other than China, Egypt, India, Kuwait, Pakistan, Qatar, Saudi Arabia and United Arab Emirates."
Invesco DWA Consumer Cyclicals Momentum ETFNASDAQ:PEZ    ,PEZ,ETF Profile,0.80%,0.60%,$196M,$0.1964/0.25%,0.22%,10/12/2006,-3.85%,+4.62%,-1.99%,+20.34%,+20.34%,+25.45%,+17.13%,+14.15%,+9.39%,$77.80 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=PEZ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=PEZ,"The investment seeks to track the investment results (before fees and expenses) of the Dorsey Wright® Consumer Cyclicals Technical Leaders Index (the ""underlying index"").The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of at least 30 securities of companies in the consumer discretionary (or cyclicals) sector that have powerful relative strength or ""momentum"" characteristics."
iShares MSCI USA Quality Factor ETFCboe Consolidated Listings:QUAL    ,QUAL,ETF Profile,0.15%,0.15%,$25B,$2.15/1.61%,1.20%,07/16/2013,+3.51%,+10.81%,+10.20%,+26.93%,+26.93%,+25.76%,+18.06%,--,+15.35%,$131.22 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=QUAL&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=QUAL,"The investment seeks to track the investment results of the MSCI USA Sector Neutral Quality Index composed of U.S. large- and mid-capitalization stocks with quality characteristics as identified through certain fundamental metrics.The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index is based on a traditional market capitalization-weighted parent index, the MSCI USA Index."
iShares Global Consumer Discretionary ETFNYSE Arca:RXI    ,RXI,ETF Profile,0.43%,0.43%,$445M,$1.59/0.95%,0.89%,09/12/2006,+1.81%,+9.25%,+5.13%,+16.33%,+16.33%,+22.44%,+16.15%,+15.20%,+10.17%,$164.52 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=RXI&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=RXI,"The investment seeks to track the S&P Global 1200 Consumer Discretionary (Sector) Capped IndexTM.The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index uses a capping methodology to limit the weight of the securities of any single issuer (as determined by S&P Dow Jones Indices LLC (the ""index provider"" or ""SPDJI"")) to a maximum of 10% of the underlying index."
ProShares Ultra Consumer GoodsNYSE Arca:UGE    ,UGE,ETF Profile,1.94%,0.95%,$18M,$0.0586/0.22%,0.20%,01/30/2007,+7.47%,+32.19%,+27.50%,+42.44%,+42.44%,+52.28%,+26.70%,+25.43%,+17.82%,$26.53 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=UGE&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=UGE,"The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of the Dow Jones U.S. Consumer GoodsSM Index.The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the consumer goods industry. The fund is non-diversified."
Vanguard Consumer Discretionary Index Fund ETF SharesNYSE Arca:VCR    ,VCR,ETF Profile,0.10%,0.10%,$8B,$2.71/0.88%,0.79%,01/26/2004,-0.07%,+10.12%,+9.24%,+24.86%,+24.86%,+33.15%,+23.15%,+20.20%,+12.65%,$298.23 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VCR&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VCR,"The investment seeks to track the performance of a benchmark index.The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index/Consumer Discretionary 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the consumer discretionary sector, as classified under the Global Industry Classification Standard. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
Global X Social Media ETFNASDAQ:SOCL    ,SOCL,ETF Profile,0.65%,0.65%,$337M,No Regular Dividends,0.00%,11/14/2011,-4.23%,-11.63%,-25.61%,-12.84%,-12.84%,+25.03%,+20.38%,+15.48%,+13.82%,$48.56 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=SOCL&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SOCL,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive Social Media Total Return Index.The fund will invest at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts and Global Depositary Receipts based on the securities in the underlying index. The underlying index tracks the equity performance of the largest and most liquid companies involved in the social media industry, including companies that provide social networking, file sharing, and other web-based media applications. The fund is non-diversified."
Simplify Volt Pop Culture Disruption ETFNYSE Arca:VPOP    ,VPOP,ETF Profile,1.02%,1.02%,$1M,No Regular Dividends,0.00%,12/28/2020,-3.99%,-6.63%,-8.91%,-10.05%,-10.05%,--,--,--,-9.54%,$9.32 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=VPOP&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VPOP,"The investment seeks to provide capital appreciation.The adviser and sub-adviser seek to achieve the fund's investment objective by investing in U.S. and foreign equity securities and equity securities of companies that are consistent with the fund's investment theme of pop culture disruption. The adviser applies an option overlay strategy to the fund's equity investments. Under normal circumstances, the fund primarily invests in U.S. and foreign equity securities of companies that are engaged in the fund's investment theme. It is non-diversified."
Roundhill Streaming Services & Technology ETFNYSE Arca:SUBZ    ,SUBZ,ETF Profile,0.75%,0.75%,$18M,No Regular Dividends,--,02/09/2021,-4.25%,-11.01%,-29.84%,--,--,--,--,--,-41.16%,$7.91 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=SUBZ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SUBZ,"The investment seeks capital growth.Under normal circumstances, at least 80% of the fund's net assets, plus borrowings for investment purposes, will be invested in Streaming Companies that receive a majority of their revenue or profits from, or invest a majority of their assets in, operations in the communication services and/or technology sectors. Its portfolio is expected to consist of equity securities of U.S. and foreign issuers of any market capitalization, which may include common stocks and depositary receipts representing interests in foreign securities (from both developed and emerging market countries). The fund is non-diversified."
ProShares On-Demand ETFNYSE Arca:OND    ,OND,ETF Profile,0.58%,0.58%,$4M,$0.0053/0.02%,--,10/26/2021,-6.14%,--,--,--,--,--,--,--,-16.00%,$29.72 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=OND&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=OND,"The investment seeks investment results, before fees and expenses, that track the performance of the FactSet On-Demand Index (the “index”).The index includes companies whose principal business is the provision of platforms and services for on-demand access to lifestyle needs including digital media, egaming, fitness, food delivery, ridesharing, or virtual reality experiences, as determined by the index methodology. The fund adviser seeks to remain fully invested at all times in securities and/or financial instruments that provide exposure to the returns of the index without regard to market conditions, trends or direction. The fund is non-diversified."
Invesco RAFI™ Strategic Developed ex-US ETFNASDAQ:ISDX    ,ISDX,ETF Profile,0.23%,0.23%,$312M,$1.07/3.45%,3.50%,09/12/2018,+5.60%,+2.81%,+1.31%,+15.78%,+15.78%,+14.32%,--,--,+9.13%,$30.41 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ISDX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ISDX,"The investment seeks to track the investment results (before fees and expenses) of the Invesco Strategic Developed ex-US Index (the ""underlying index"").The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index and American depositary receipts (""ADRs"") and global depositary receipts (""GDRs"") that are based on securities in the underlying index. The underlying index is designed to measure the performance of equity securities in countries designated as developed market countries (excluding the U.S.)."
Invesco FTSE RAFI US 1000 ETFNYSE Arca:PRF    ,PRF,ETF Profile,0.40%,0.39%,$6B,$2.03/1.21%,1.58%,12/19/2005,+6.27%,+8.96%,+8.08%,+31.13%,+31.13%,+21.68%,+13.80%,+14.43%,+10.14%,$165.80 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=PRF&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=PRF,"The investment seeks to track the investment results (before fees and expenses) of the FTSE RAFI™ US 1000 Index (the ""underlying index"").The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of 1,000 common stocks that FTSE International Limited and Research Affiliates LLC strictly in accordance with their guidelines and mandated procedures, include to track the performance of the largest U.S. companies based on the following four fundamental measures: book value, cash flow, sales and dividends."
ProShares RAFI® Long/ShortNYSE Arca:RALS    ,RALS,ETF Profile,3.88%,0.95%,$4M,$0.3503/1.09%,1.13%,12/02/2010,+1.65%,-1.37%,-2.51%,+2.37%,+2.37%,-3.40%,-3.56%,-0.69%,-1.06%,$32.31 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=RALS&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=RALS,"The investment seeks investment results, before fees and expenses, that track the performance of the FTSE RAFITM US 1000 Long/Short Total Return Index (the ""index"").The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index allocates an aggregate equal dollar amount to both long and short equity positions each time that the index rebalances. To be ""long"" means to hold or have long exposure to an asset with the expectation that its value will increase over time. The fund is non-diversified."
Schwab Fundamental U.S. Broad Market Index ETFNYSE Arca:FNDB    ,FNDB,ETF Profile,0.25%,0.25%,$418M,$0.9444/1.66%,1.63%,08/15/2013,+5.85%,+8.94%,+7.78%,+31.55%,+31.55%,+22.87%,+14.77%,--,+13.17%,$55.97 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=FNDB&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=FNDB,"The investment seeks to track as closely as possible, before fees and expenses, the total return of the Russell RAFI™ US Index.The fund will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in stocks included in the index. The index measures the performance of the constituent companies by fundamental overall company scores (scores), which are created using as the universe the U.S. companies in the FTSE Global Total Cap Index (the parent index). It may invest up to 10% of its net assets in securities not included in the index."
Avantis® International Equity ETFNYSE Arca:AVDE    ,AVDE,ETF Profile,0.23%,0.23%,$1B,$1.56/2.49%,2.46%,09/24/2019,+4.53%,+2.84%,+1.90%,+13.61%,+13.61%,--,--,--,+13.35%,$61.80 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=AVDE&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=AVDE,"The investment seeks long-term capital appreciation.The fund invests primarily in a diverse group of non-U.S. companies across countries, market sectors and industry groups. It may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. It also may invest in derivative instruments such as futures contracts, currency forwards, and swap agreements."
iShares Russell Mid-Cap Growth ETFNYSE Arca:IWP    ,IWP,ETF Profile,0.23%,0.23%,$16B,$0.3494/0.35%,0.30%,07/17/2001,+0.37%,+2.91%,+2.00%,+12.60%,+12.60%,+27.17%,+19.57%,+16.40%,+10.23%,$97.06 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IWP&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IWP,"The investment seeks to track the investment results of the Russell Midcap Growth Index composed of mid-capitalization U.S. equities that exhibit growth characteristics.The index measures the performance of the mid-capitalization growth sector of the U.S. equity market, as defined by Russell. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
iShares Russell 1000 Growth ETFNYSE Arca:IWF    ,IWF,ETF Profile,0.19%,0.19%,$79B,$1.51/0.55%,0.50%,05/22/2000,+2.04%,+11.66%,+12.89%,+27.43%,+27.43%,+33.77%,+25.06%,+19.57%,+7.64%,$267.95 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IWF&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IWF,"The investment seeks to track the investment results of the Russell 1000® Growth Index, which measures the performance of large- and mid-capitalization growth sectors of the U.S. equity market.The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
iShares Russell Mid-Cap ETFNYSE Arca:IWR    ,IWR,ETF Profile,0.19%,0.19%,$32B,$0.8674/1.13%,1.05%,07/17/2001,+4.08%,+6.46%,+5.43%,+22.44%,+22.44%,+23.07%,+14.92%,+14.73%,+10.35%,$75.17 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IWR&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IWR,"The investment seeks to track the investment results of the Russell Midcap Index, which measures the performance of the mid-capitalization sector of the U.S. equity market.The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ProShares Bitcoin Strategy ETFNYSE Arca:BITO    ,BITO,ETF Profile,0.95%,0.95%,$1B,No Regular Dividends,--,10/18/2021,-21.02%,--,--,--,--,--,--,--,-27.75%,$24.10 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BITO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BITO,"The investment seeks capital appreciation.The fund adviser seeks to provide capital appreciation primarily through managed exposure to bitcoin futures contracts. The fund does not invest directly in bitcoin. The fund adviser will generally hold the fund's bitcoin futures contracts during periods in which the value of bitcoin is flat or declining as well as during periods in which the value of bitcoin is rising. In order to maintain exposure to bitcoin futures contracts, the adviser must sell its futures contracts as they near expiration and replace them with new futures contracts with a later expiration date. The fund is non-diversified."
Amplify Digital & Online Trading ETFNYSE Arca:BIDS    ,BIDS,ETF Profile,0.59%,0.59%,$607K,$0.0839/0.37%,--,09/21/2021,-6.07%,-2.93%,--,--,--,--,--,--,-3.62%,$21.69 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BIDS&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BIDS,"The investment seeks results that generally correspond to the price and yield of the BlueStar® Global E-Brokers and Digital Capital Markets Index (the “index”).The fund will, under normal market conditions, invest at least 80% of its total assets in the securities that comprise the BlueStar® Global E-Brokers and Digital Capital Markets Index (the “index”). The index is a global index that tracks the performance of companies engaged in online securities brokerage and lending, market making and digital asset capital markets. The fund is non-diversified."
Bitwise Crypto Industry Innovators ETFNYSE Arca:BITQ    ,BITQ,ETF Profile,0.85%,0.85%,$121M,$0.6554/3.77%,--,04/27/2021,-25.87%,-0.10%,-9.81%,--,--,--,--,--,+8.19%,$15.26 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BITQ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BITQ,"The investment seeks to provide investment results that, correspond generally to the total return performance of the Bitwise Crypto Innovators 30 Index.The index was designed by Bitwise Index Services, LLC to measure the performance of companies involved in servicing the cryptocurrency markets, including crypto mining firms, crypto mining equipment suppliers, crypto financial services companies, or other financial institutions servicing primarily crypto-related clientele (i.e., the crypto ecosystem). Normally, the fund invests at least 80% of its net assets in securities of Crypto Innovators. It is non-diversified."
Global X Blockchain ETFNASDAQ:BKCH    ,BKCH,ETF Profile,0.50%,0.50%,$114M,$1.87/10.16%,--,07/12/2021,-29.89%,-3.98%,--,--,--,--,--,--,-9.20%,$16.13 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BKCH&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BKCH,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Solactive Blockchain Index.The fund invests at least 80% of its total assets, plus borrowings for investments purposes (if any), in the securities of the index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to companies that are positioned to benefit from further advances in the field of blockchain technology. The fund is non-diversified."
Siren Nasdaq NexGen Economy ETFNASDAQ:BLCN    ,BLCN,ETF Profile,0.68%,0.68%,$263M,$0.2397/0.61%,0.56%,01/16/2018,-8.97%,-4.69%,-10.42%,+4.86%,+4.86%,+31.14%,--,--,+16.39%,$38.05 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BLCN&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BLCN,"The investment seeks long-term growth by tracking the investment returns, before fees and expenses, of the Siren Nasdaq Blockchain Economy Index.Under normal circumstances, at least 80% of the fund's assets, will be invested in component securities of the index. The index is designed to measure the returns of companies that are committing material resources to developing, researching, supporting, innovating or utilizing blockchain technology for their proprietary use or for use by others (""Blockchain Companies""). The fund is non-diversified."
Amplify Transformational Data Sharing ETFNYSE Arca:BLOK    ,BLOK,ETF Profile,0.71%,0.71%,$1B,$5.75/16.48%,14.36%,01/16/2018,-16.97%,+2.80%,-3.74%,+31.19%,+31.19%,+47.85%,--,--,+24.67%,$32.14 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BLOK&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BLOK,"The investment seeks to provide investors with total return.The fund is an actively managed ETF that seeks to provide total return by investing at least 80% of its net assets (including investment borrowings) in the equity securities of companies actively involved in the development and utilization of transformational data sharing technologies. It may invest in non-U.S. equity securities, including depositary receipts."
Volt Crypto Industry Revolution and Tech ETFNYSE Arca:BTCR    ,BTCR,ETF Profile,0.85%,0.85%,$5M,No Regular Dividends,--,10/27/2021,-31.97%,--,--,--,--,--,--,--,-27.89%,$11.40 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BTCR&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BTCR,"The investment seeks to provide capital appreciation.The fund is an actively managed ETF that invests a majority of its net assets in U.S. and foreign companies with exposure to bitcoin and its supporting infrastructure. Under normal circumstances, the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in Bitcoin Industry Revolution Companies and Technology Companies, options on those companies and ETFs with exposure to those companies. Primarily all of the fund’s assets will be invested in equities and options on those equities. The fund is non-diversified."
First Trust SkyBridge Crypto Industry and Digital Economy ETFNYSE Arca:CRPT    ,CRPT,ETF Profile,0.85%,0.85%,$45M,$0.80/5.57%,--,09/20/2021,-23.17%,-5.89%,--,--,--,--,--,--,-8.18%,$12.67 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=CRPT&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=CRPT,"The investment seeks to provide investors with capital appreciation.Under normal market conditions, the fund will invest at least 80% of its net assets (plus any investment borrowings) in the common stocks and American Depositary Receipts (“ADRs”) of Crypto Industry Companies and Digital Economy Companies. Under normal market conditions, the fund will invest at least 50% of its net assets in Crypto Industry Companies. The remainder of the fund’s net assets used to satisfy the 80% test set forth above will be invested in Digital Economy Companies. The fund is non-diversified."
VanEck Digital Transformation ETFNASDAQ:DAPP    ,DAPP,ETF Profile,0.50%,0.50%,$50M,$0.00/0.00%,--,04/12/2021,-29.20%,-10.33%,-21.53%,--,--,--,--,--,-41.95%,$13.04 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=DAPP&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=DAPP,"The investment seeks to track as closely as possible, before fees and expenses, the price and yield performance of the MVIS® Global Digital Assets Equity Index.The fund normally invests at least 80% of its total assets in securities of Digital Transformation Companies. The index is a global index that tracks the performance of Digital Transformation Companies. The fund will not invest in digital assets (including cryptocurrencies) (i) directly or (ii) indirectly through the use of digital asset derivatives. It also will not invest in initial coin offerings. The fund is non-diversified."
Global X FinTech ETFNASDAQ:FINX    ,FINX,ETF Profile,0.68%,0.68%,$1B,$2.16/6.28%,5.41%,09/12/2016,-7.60%,-12.18%,-11.54%,-9.72%,-9.72%,+24.05%,+23.62%,--,+21.70%,$33.06 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=FINX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=FINX,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Fintech Thematic Index.The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that provide financial technology products and services, including companies involved in mobile payments, peer-to-peer (P2P) and marketplace lending, financial analytics software and alternative currencies, as defined by the index provider. The fund is non-diversified."
,IPO,,,,,,,,,,,,,,,,,,,,,https://invest.ameritrade.com/grid/p/site#r=search?query=IPO,,
Defiance Digital Revolution ETFNYSE Arca:NFTZ    ,NFTZ,ETF Profile,0.65%,0.65%,$10M,No Regular Dividends,--,12/01/2021,--,--,--,--,--,--,--,--,-23.75%,$13.69 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=NFTZ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=NFTZ,"The investment seeks to track the total return performance, before fees and expenses, of the BITA NFT and Blockchain Select Index (the “Index”).The index is a rules-based index that consists of the common stock of companies (i) that earn a majority of their revenue from activities in the blockchain and cryptocurrency ecosystems or (ii) with exposure to the NFT ecosystem. The fund will generally invest in all of the component securities of the index in the same approximate proportions as in the index. The fund is non-diversified."
Invesco Alerian Galaxy Crypto Economy ETFCboe Consolidated Listings:SATO    ,SATO,ETF Profile,0.60%,0.60%,$1M,$0.1207/0.67%,--,10/07/2021,-25.98%,--,--,--,--,--,--,--,-17.37%,$16.24 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=SATO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SATO,"The investment seeks to track the investment results of the Alerian Galaxy Global Cryptocurrency-Focused Blockchain Equity, Trusts and ETPs Index.The fund generally will invest at least 80% of its total assets in the securities that comprise the underlying index. The underlying index, which is comprised of two different components: (i) stocks of digital asset companies, which are companies that are materially engaged in cyrptocurrency, cryptocurrency mining, cryptocurrency buying, or enabling technologies; and (ii) exchange-traded products and private investment trusts traded over-the-counter that are linked to cryptocurrencies. The fund is non-diversified."
Valkyrie Balance Sheet Opportunities ETFNASDAQ:VBB    ,VBB,ETF Profile,0.75%,0.75%,$603K,No Regular Dividends,--,12/14/2021,--,--,--,--,--,--,--,--,-2.56%,$19.14 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VBB&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VBB,"The investment seeks to provide investors with total return.The fund is an actively-managed exchange-traded fund (“ETF”) that will invest at least 80% of its net assets (plus borrowings for investment purposes) in the securities of U.S. operating companies that have innovative balance sheets, which the fund’s adviser, Valkyrie Funds LLC (“Valkyrie” or the “Adviser”), consider to be operating companies that directly or indirectly invest in, transact in, or otherwise have exposure to bitcoin (such as bitcoin custodians, exchanges or traders). It is non-diversified."
Simplify Volt Fintech Disruption ETFNYSE Arca:VFIN    ,VFIN,ETF Profile,1.03%,1.03%,$2M,No Regular Dividends,0.00%,12/28/2020,-14.43%,-26.33%,-28.43%,-30.77%,-30.77%,--,--,--,-32.12%,$6.35 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VFIN&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VFIN,"The investment seeks to provide capital appreciation.The adviser and sub-adviser seek to achieve the fund's investment objective by investing in U.S. and foreign equity securities and equity securities of companies engaging in activities that are consistent with the fund's investment theme of financial technology disruption. Under normal circumstances, the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in domestic and foreign securities of companies that are engaged in the fund’s investment theme. It is non-diversified."
